dataset,area,sex,ICCC,graph,year,age_group,measure,value_text
CYPC,British Columbia,1,1,L,2023,B,1,5
CYPC,British Columbia,1,1,L,2023,B,2,35
CYPC,British Columbia,1,1,L,2023,B,3,236.25
CYPC,British Columbia,1,1,L,2023,B,4,318.29
CYPC,British Columbia,1,1,L,2023,C,1,25
CYPC,British Columbia,1,1,L,2023,C,2,105
CYPC,British Columbia,1,1,L,2023,C,3,273.34
CYPC,British Columbia,1,1,L,2023,C,4,224.1
CYPC,British Columbia,1,1,L,2023,D,1,20
CYPC,British Columbia,1,1,L,2023,D,2,70
CYPC,British Columbia,1,1,L,2023,D,3,150.73
CYPC,British Columbia,1,1,L,2023,D,4,108.64
CYPC,British Columbia,1,1,L,2023,E,1,20
CYPC,British Columbia,1,1,L,2023,E,2,80
CYPC,British Columbia,1,1,L,2023,E,3,144.16
CYPC,British Columbia,1,1,L,2023,E,4,119.49
CYPC,British Columbia,1,1,L,2023,S,1,70
CYPC,British Columbia,1,1,L,2023,S,2,290
CYPC,British Columbia,1,1,L,2023,S,5,176.88
CYPC,British Columbia,1,1,L,2023,S,6,155.14
CYPC,British Columbia,1,10,L,2023,B,1,<5
CYPC,British Columbia,1,10,L,2023,B,2,5
CYPC,British Columbia,1,10,L,2023,B,3,
CYPC,British Columbia,1,10,L,2023,B,4,45.47
CYPC,British Columbia,1,10,L,2023,C,1,10
CYPC,British Columbia,1,10,L,2023,C,2,50
CYPC,British Columbia,1,10,L,2023,C,3,109.34
CYPC,British Columbia,1,10,L,2023,C,4,106.71
CYPC,British Columbia,1,10,L,2023,D,1,5
CYPC,British Columbia,1,10,L,2023,D,2,30
CYPC,British Columbia,1,10,L,2023,D,3,37.68
CYPC,British Columbia,1,10,L,2023,D,4,46.56
CYPC,British Columbia,1,10,L,2023,E,1,<5
CYPC,British Columbia,1,10,L,2023,E,2,10
CYPC,British Columbia,1,10,L,2023,E,3,
CYPC,British Columbia,1,10,L,2023,E,4,14.94
CYPC,British Columbia,1,10,L,2023,S,1,25
CYPC,British Columbia,1,10,L,2023,S,2,95
CYPC,British Columbia,1,10,L,2023,S,5,59.26
CYPC,British Columbia,1,10,L,2023,S,6,51.76
CYPC,British Columbia,1,11,L,2023,B,1,<5
CYPC,British Columbia,1,11,L,2023,B,2,<5
CYPC,British Columbia,1,11,L,2023,B,3,
CYPC,British Columbia,1,11,L,2023,B,4,
CYPC,British Columbia,1,11,L,2023,C,1,10
CYPC,British Columbia,1,11,L,2023,C,2,40
CYPC,British Columbia,1,11,L,2023,C,3,109.34
CYPC,British Columbia,1,11,L,2023,C,4,85.37
CYPC,British Columbia,1,11,L,2023,D,1,5
CYPC,British Columbia,1,11,L,2023,D,2,25
CYPC,British Columbia,1,11,L,2023,D,3,37.68
CYPC,British Columbia,1,11,L,2023,D,4,38.8
CYPC,British Columbia,1,11,L,2023,E,1,<5
CYPC,British Columbia,1,11,L,2023,E,2,10
CYPC,British Columbia,1,11,L,2023,E,3,
CYPC,British Columbia,1,11,L,2023,E,4,14.94
CYPC,British Columbia,1,11,L,2023,S,1,15
CYPC,British Columbia,1,11,L,2023,S,2,80
CYPC,British Columbia,1,11,L,2023,S,5,48.3
CYPC,British Columbia,1,11,L,2023,S,6,42.72
CYPC,British Columbia,1,12,L,2023,B,1,<5
CYPC,British Columbia,1,12,L,2023,B,2,<5
CYPC,British Columbia,1,12,L,2023,B,3,
CYPC,British Columbia,1,12,L,2023,B,4,
CYPC,British Columbia,1,12,L,2023,C,1,<5
CYPC,British Columbia,1,12,L,2023,C,2,5
CYPC,British Columbia,1,12,L,2023,C,3,
CYPC,British Columbia,1,12,L,2023,C,4,10.67
CYPC,British Columbia,1,12,L,2023,D,1,<5
CYPC,British Columbia,1,12,L,2023,D,2,<5
CYPC,British Columbia,1,12,L,2023,D,3,
CYPC,British Columbia,1,12,L,2023,D,4,
CYPC,British Columbia,1,12,L,2023,E,1,<5
CYPC,British Columbia,1,12,L,2023,E,2,<5
CYPC,British Columbia,1,12,L,2023,E,3,
CYPC,British Columbia,1,12,L,2023,E,4,
CYPC,British Columbia,1,12,L,2023,S,1,<5
CYPC,British Columbia,1,12,L,2023,S,2,10
CYPC,British Columbia,1,12,L,2023,S,5,
CYPC,British Columbia,1,12,L,2023,S,6,4.27
CYPC,British Columbia,1,13,L,2023,B,1,<5
CYPC,British Columbia,1,13,L,2023,B,2,<5
CYPC,British Columbia,1,13,L,2023,B,3,
CYPC,British Columbia,1,13,L,2023,B,4,
CYPC,British Columbia,1,13,L,2023,C,1,<5
CYPC,British Columbia,1,13,L,2023,C,2,<5
CYPC,British Columbia,1,13,L,2023,C,3,
CYPC,British Columbia,1,13,L,2023,C,4,
CYPC,British Columbia,1,13,L,2023,D,1,<5
CYPC,British Columbia,1,13,L,2023,D,2,<5
CYPC,British Columbia,1,13,L,2023,D,3,
CYPC,British Columbia,1,13,L,2023,D,4,
CYPC,British Columbia,1,13,L,2023,E,1,<5
CYPC,British Columbia,1,13,L,2023,E,2,<5
CYPC,British Columbia,1,13,L,2023,E,3,
CYPC,British Columbia,1,13,L,2023,E,4,
CYPC,British Columbia,1,13,L,2023,S,1,<5
CYPC,British Columbia,1,13,L,2023,S,2,<5
CYPC,British Columbia,1,13,L,2023,S,5,
CYPC,British Columbia,1,13,L,2023,S,6,
CYPC,British Columbia,1,14,L,2023,B,1,<5
CYPC,British Columbia,1,14,L,2023,B,2,<5
CYPC,British Columbia,1,14,L,2023,B,3,
CYPC,British Columbia,1,14,L,2023,B,4,
CYPC,British Columbia,1,14,L,2023,C,1,<5
CYPC,British Columbia,1,14,L,2023,C,2,<5
CYPC,British Columbia,1,14,L,2023,C,3,
CYPC,British Columbia,1,14,L,2023,C,4,
